geneEnsembl	Toulouse	Gene_name
ENSG00000104763	ASAH1	ASAH1
ENSG00000104774	MAN2B1	MAN2B1
ENSG00000104808	DHDH	DHDH
ENSG00000104812	GYS1	GYS1
ENSG00000104823	ECH1	ECH1
ENSG00000104879	CKM	CKM
ENSG00000104885	DOT1L	DOT1L
ENSG00000104888	SLC17A7	SLC17A7
ENSG00000104907	TRMT1	TRMT1
ENSG00000104951	IL4I1	IL4I1
ENSG00000105143	SLC1A6	SLC1A6
ENSG00000105220	GPI	GPI
ENSG00000105254	TBCB	TBCB
ENSG00000105258	POLR2I	POLR2I
ENSG00000105281	SLC1A5	SLC1A5
ENSG00000105355	PLIN3	PLIN3
ENSG00000105379	ETFB	ETFB
ENSG00000105398	SULT2A1	SULT2A1
ENSG00000105409	ATP1A3	ATP1A3
ENSG00000105499	PLA2G4C	PLA2G4C
ENSG00000105509	HAS1	HAS1
ENSG00000105516	DBP	DBP
ENSG00000105520	PLPPR2	PLPPR2
ENSG00000105552	BCAT2	BCAT2
ENSG00000105607	GCDH	GCDH
ENSG00000105641	SLC5A5	SLC5A5
ENSG00000105647	PIK3R2	PIK3R2
ENSG00000105650	PDE4C	PDE4C
ENSG00000105655	ISYNA1	ISYNA1
ENSG00000105669	COPE	COPE
ENSG00000105675	ATP4A	ATP4A
ENSG00000105679	GAPDHS	GAPDHS
ENSG00000105701	FKBP8	FKBP8
ENSG00000105835	NAMPT	NAMPT
ENSG00000105851	PIK3CG	PIK3CG
ENSG00000105852	PON3	PON3
ENSG00000105854	PON2	PON2
ENSG00000105879	CBLL1	CBLL1
ENSG00000105929	ATP6V0A4	ATP6V0A4
ENSG00000105939	ZC3HAV1	ZC3HAV1
ENSG00000105953	OGDH	OGDH
ENSG00000106049	HIBADH	HIBADH
ENSG00000106080	FKBP14	FKBP14
ENSG00000106105	GARS1	GARS1
ENSG00000106258	CYP3A5	CYP3A5
ENSG00000106302	HYAL4	HYAL4
ENSG00000106304	SPAM1	SPAM1
ENSG00000106346	USP42	USP42
ENSG00000106348	IMPDH1	IMPDH1
ENSG00000106384	MOGAT3	MOGAT3
ENSG00000106392	C1GALT1	C1GALT1
ENSG00000106397	PLOD3	PLOD3
ENSG00000106459	NRF1	NRF1
ENSG00000106462	EZH2	EZH2
ENSG00000106605	BLVRA	BLVRA
ENSG00000106628	POLD2	POLD2
ENSG00000106633	GCK	GCK
ENSG00000106636	YKT6	YKT6
ENSG00000106688	SLC1A1	SLC1A1
ENSG00000106733	NMRK1	NMRK1
ENSG00000106853	PTGR1	PTGR1
ENSG00000106976	DNM1	DNM1
ENSG00000106992	AK1	AK1
ENSG00000107159	CA9	CA9
ENSG00000107165	TYRP1	TYRP1
ENSG00000107242	PIP5K1B	PIP5K1B
ENSG00000107317	PTGDS	PTGDS
ENSG00000107341	UBE2R2	UBE2R2
ENSG00000107537	PHYH	PHYH
ENSG00000107611	CUBN	CUBN
ENSG00000107614	TRDMT1	TRDMT1
ENSG00000107669	ATE1	ATE1
ENSG00000107789	MINPP1	MINPP1
ENSG00000107798	LIPA	LIPA
ENSG00000107819	SFXN3	SFXN3
ENSG00000107854	TNKS2	TNKS2
ENSG00000107902	LHPP	LHPP
ENSG00000107951	MTPAP	MTPAP
ENSG00000107954	NEURL1	NEURL1
ENSG00000108106	UBE2S	UBE2S
ENSG00000108179	PPIF	PPIF
ENSG00000108242	CYP2C18	CYP2C18
ENSG00000108381	ASPA	ASPA
ENSG00000108439	PNPO	PNPO
ENSG00000108474	PIGL	PIGL
ENSG00000108479	GALK1	GALK1
ENSG00000108515	ENO3	ENO3
ENSG00000108523	RNF167	RNF167
ENSG00000108528	SLC25A11	SLC25A11
ENSG00000108559	NUP88	NUP88
ENSG00000108576	SLC6A4	SLC6A4
ENSG00000108602	ALDH3A1	ALDH3A1
ENSG00000108773	KAT2A	KAT2A
ENSG00000108784	NAGLU	NAGLU
ENSG00000108786	HSD17B1	HSD17B1
ENSG00000108799	EZH1	EZH1
ENSG00000108839	ALOX12	ALOX12
ENSG00000108846	ABCC3	ABCC3
ENSG00000108854	SMURF2	SMURF2
ENSG00000108932	SLC16A6	SLC16A6
ENSG00000109065	NAT9	NAT9
ENSG00000109107	ALDOC	ALDOC
ENSG00000109181	UGT2B10	UGT2B10
ENSG00000109189	USP46	USP46
ENSG00000109193	SULT1E1	SULT1E1
ENSG00000109323	MANBA	MANBA
ENSG00000109332	UBE2D3	UBE2D3
ENSG00000109390	NDUFC1	NDUFC1
ENSG00000109424	UCP1	UCP1
ENSG00000109452	INPP4B	INPP4B
ENSG00000109576	AADAT	AADAT
ENSG00000109586	GALNT7	GALNT7
ENSG00000109610	SOD3	SOD3
ENSG00000109667	SLC2A9	SLC2A9
ENSG00000109685	NSD2	NSD2
ENSG00000109743	BST1	BST1
ENSG00000109814	UGDH	UGDH
ENSG00000109854	HTATIP2	HTATIP2
ENSG00000109861	CTSC	CTSC
ENSG00000109929	SC5D	SC5D
ENSG00000109956	B3GAT1	B3GAT1
ENSG00000110013	SIAE	SIAE
ENSG00000110066	KMT5B	KMT5B
ENSG00000110080	ST3GAL4	ST3GAL4
ENSG00000110090	CPT1A	CPT1A
ENSG00000110195	FOLR1	FOLR1
ENSG00000110203	FOLR3	FOLR3
ENSG00000110245	APOC3	APOC3
ENSG00000110328	GALNT18	GALNT18
ENSG00000110344	UBE4A	UBE4A
ENSG00000110395	CBL	CBL
ENSG00000110435	PDHX	PDHX
ENSG00000110436	SLC1A2	SLC1A2
ENSG00000110446	SLC15A3	SLC15A3
ENSG00000110536	PTPMT1	PTPMT1
ENSG00000110583	NAA40	NAA40
ENSG00000110619	CARS1	CARS1
ENSG00000110628	SLC22A18	SLC22A18
ENSG00000110713	NUP98	NUP98
ENSG00000110717	NDUFS8	NDUFS8
ENSG00000110719	TCIRG1	TCIRG1
ENSG00000110721	CHKA	CHKA
ENSG00000110871	COQ5	COQ5
ENSG00000110887	DAO	DAO
ENSG00000110911	SLC11A2	SLC11A2
ENSG00000110921	MVK	MVK
ENSG00000110955	ATP5F1B	ATP5F1B
ENSG00000110958	PTGES3	PTGES3
ENSG00000111012	CYP27B1	CYP27B1
ENSG00000111058	ACSS3	ACSS3
ENSG00000111077	TNS2	TNS2
ENSG00000111144	LTA4H	LTA4H
ENSG00000111181	SLC6A12	SLC6A12
ENSG00000111224	PARP11	PARP11
ENSG00000111237	VPS29	VPS29
ENSG00000111261	MANSC1	MANSC1
ENSG00000111271	ACAD10	ACAD10
ENSG00000111275	ALDH2	ALDH2
ENSG00000111339	ART4	ART4
ENSG00000111371	SLC38A1	SLC38A1
ENSG00000111445	RFC5	RFC5
ENSG00000111581	NUP107	NUP107
ENSG00000111640	GAPDH	GAPDH
ENSG00000111666	CHPT1	CHPT1
ENSG00000111667	USP5	USP5
ENSG00000111669	TPI1	TPI1
ENSG00000111670	GNPTAB	GNPTAB
ENSG00000111674	ENO2	ENO2
ENSG00000111684	LPCAT3	LPCAT3
ENSG00000111696	NT5DC3	NT5DC3
ENSG00000111700	SLCO1B3	SLCO1B3
ENSG00000111713	GYS2	GYS2
ENSG00000111716	LDHB	LDHB
ENSG00000111726	CMAS	CMAS
ENSG00000111728	ST8SIA1	ST8SIA1
ENSG00000111732	AICDA	AICDA
ENSG00000111775	COX6A1	COX6A1
ENSG00000111817	DSE	DSE
ENSG00000111846	GCNT2	GCNT2
ENSG00000111880	RNGTT	RNGTT
ENSG00000111885	MAN1A1	MAN1A1
ENSG00000111962	UST	UST
ENSG00000112053	SLC26A8	SLC26A8
ENSG00000112077	RHAG	RHAG
ENSG00000112130	RNF8	RNF8
ENSG00000112293	GPLD1	GPLD1
ENSG00000112294	ALDH5A1	ALDH5A1
ENSG00000112299	VNN1	VNN1
ENSG00000112303	VNN2	VNN2
ENSG00000112304	ACOT13	ACOT13
ENSG00000112309	B3GAT2	B3GAT2
ENSG00000112337	SLC17A2	SLC17A2
ENSG00000112367	FIG4	FIG4
ENSG00000112394	SLC16A10	SLC16A10
ENSG00000112473	SLC39A7	SLC39A7
ENSG00000112499	SLC22A2	SLC22A2
ENSG00000112541	PDE10A	PDE10A
ENSG00000112695	COX7A2	COX7A2
ENSG00000112699	GMDS	GMDS
ENSG00000112759	SLC29A1	SLC29A1
ENSG00000112874	NUDT12	NUDT12
ENSG00000112893	MAN2A1	MAN2A1
ENSG00000112941	TENT4A	TENT4A
ENSG00000112972	HMGCS1	HMGCS1
ENSG00000112992	NNT	NNT
ENSG00000113073	SLC4A9	SLC4A9
ENSG00000113083	LOX	LOX
ENSG00000113161	HMGCR	HMGCR
ENSG00000113163	CERT1	CERT1
ENSG00000113231	PDE8B	PDE8B
ENSG00000113269	RNF130	RNF130
ENSG00000113273	ARSB	ARSB
ENSG00000113356	POLR3G	POLR3G
ENSG00000113396	SLC27A6	SLC27A6
ENSG00000113407	TARS1	TARS1
ENSG00000113448	PDE4D	PDE4D
ENSG00000113456	RAD1	RAD1
ENSG00000113492	AGXT2	AGXT2
ENSG00000113504	SLC12A7	SLC12A7
ENSG00000113532	ST8SIA4	ST8SIA4
ENSG00000113552	GNPDA1	GNPDA1
ENSG00000113569	NUP155	NUP155
ENSG00000113593	PPWD1	PPWD1
ENSG00000113643	RARS1	RARS1
ENSG00000113732	ATP6V0E1	ATP6V0E1
ENSG00000113790	EHHADH	EHHADH
ENSG00000113924	HGD	HGD
ENSG00000114021	NIT2	NIT2
ENSG00000114054	PCCB	PCCB
ENSG00000114062	UBE3A	UBE3A
ENSG00000114113	RBP2	RBP2
ENSG00000114115	RBP1	RBP1
ENSG00000114124	GRK7	GRK7
ENSG00000114166	KAT2B	KAT2B
ENSG00000114200	BCHE	BCHE
ENSG00000114268	PFKFB4	PFKFB4
ENSG00000114316	USP4	USP4
ENSG00000114374	USP9Y	USP9Y
ENSG00000114378	HYAL1	HYAL1
ENSG00000114423	CBLB	CBLB
ENSG00000114480	GBE1	GBE1
ENSG00000114491	UMPS	UMPS
ENSG00000114573	ATP6V1A	ATP6V1A
ENSG00000114770	ABCC5	ABCC5
ENSG00000114771	AADAC	AADAC
ENSG00000114786	ABHD14A-ACY1	ABHD14A-ACY1
ENSG00000114805	PLCH1	PLCH1
ENSG00000114857	NKTR	NKTR
ENSG00000114902	SPCS1	SPCS1
ENSG00000114923	SLC4A3	SLC4A3
ENSG00000114956	DGUOK	DGUOK
ENSG00000114982	KANSL3	KANSL3
ENSG00000114999	TTL	TTL
ENSG00000115020	PIKFYVE	PIKFYVE
ENSG00000115159	GPD2	GPD2
ENSG00000115252	PDE1A	PDE1A
ENSG00000115275	MOGS	MOGS
ENSG00000115286	NDUFS7	NDUFS7
ENSG00000115339	GALNT3	GALNT3
ENSG00000115350	POLE4	POLE4
ENSG00000115361	ACADL	ACADL
ENSG00000115392	FANCL	FANCL
ENSG00000115419	GLS	GLS
ENSG00000115421	PAPOLG	PAPOLG
ENSG00000115425	PECR	PECR
ENSG00000115464	USP34	USP34
ENSG00000115488	NEU2	NEU2
ENSG00000115525	ST3GAL5	ST3GAL5
ENSG00000115526	CHST10	CHST10
ENSG00000115556	PLCD4	PLCD4
ENSG00000115616	SLC9A2	SLC9A2
ENSG00000115652	UXS1	UXS1
ENSG00000115657	ABCB6	ABCB6
ENSG00000115665	SLC5A7	SLC5A7
ENSG00000115677	HDLBP	HDLBP
ENSG00000115705	TPO	TPO
ENSG00000115758	ODC1	ODC1
ENSG00000115760	BIRC6	BIRC6
ENSG00000115828	QPCT	QPCT
ENSG00000115840	SLC25A12	SLC25A12
ENSG00000115850	LCT	LCT
ENSG00000115866	DARS1	DARS1
ENSG00000115884	SDC1	SDC1
ENSG00000115902	SLC1A4	SLC1A4
ENSG00000115919	KYNU	KYNU
ENSG00000116005	PCYOX1	PCYOX1
ENSG00000116039	ATP6V1B1	ATP6V1B1
ENSG00000116096	SPR	SPR
ENSG00000116120	FARSB	FARSB
ENSG00000116133	DHCR24	DHCR24
ENSG00000116157	GPX7	GPX7
ENSG00000116171	SCP2	SCP2
ENSG00000116199	FAM20B	FAM20B
ENSG00000116237	ICMT	ICMT
ENSG00000116337	AMPD2	AMPD2
ENSG00000116353	MECR	MECR
ENSG00000116459	ATP5PB	ATP5PB
ENSG00000116514	RNF19B	RNF19B
ENSG00000116539	ASH1L	ASH1L
ENSG00000116649	SRM	SRM
ENSG00000116704	SLC35D1	SLC35D1
ENSG00000116711	PLA2G4A	PLA2G4A
ENSG00000116745	RPE65	RPE65
ENSG00000116748	AMPD1	AMPD1
ENSG00000116761	CTH	CTH
ENSG00000116771	AGMAT	AGMAT
ENSG00000116783	TNNI3K	TNNI3K
ENSG00000116791	CRYZ	CRYZ
ENSG00000116882	HAO2	HAO2
ENSG00000116906	GNPAT	GNPAT
ENSG00000116981	NT5C1A	NT5C1A
ENSG00000116984	MTR	MTR
ENSG00000117009	KMO	KMO
ENSG00000117054	ACADM	ACADM
ENSG00000117069	ST6GALNAC5	ST6GALNAC5
ENSG00000117115	PADI2	PADI2
ENSG00000117118	SDHB	SDHB
ENSG00000117143	UAP1	UAP1
ENSG00000117215	PLA2G2D	PLA2G2D
ENSG00000117305	HMGCL	HMGCL
ENSG00000117308	GALE	GALE
ENSG00000117394	SLC2A1	SLC2A1
ENSG00000117410	ATP6V0B	ATP6V0B
ENSG00000117411	B4GALT2	B4GALT2
ENSG00000117448	AKR1A1	AKR1A1
ENSG00000117450	PRDX1	PRDX1
ENSG00000117461	PIK3R3	PIK3R3
ENSG00000117479	SLC19A2	SLC19A2
ENSG00000117480	FAAH	FAAH
ENSG00000117528	ABCD3	ABCD3
ENSG00000117543	DPH5	DPH5
ENSG00000117592	PRDX6	PRDX6
ENSG00000117594	HSD11B1	HSD11B1
ENSG00000117600	PLPPR4	PLPPR4
ENSG00000117620	SLC35A3	SLC35A3
ENSG00000117643	MAN1C1	MAN1C1
ENSG00000117682	DHDDS	DHDDS
ENSG00000117834	SLC5A9	SLC5A9
ENSG00000117984	CTSD	CTSD
ENSG00000118017	A4GNT	A4GNT
ENSG00000118058	KMT2A	KMT2A
ENSG00000118094	TREH	TREH
ENSG00000118137	APOA1	APOA1
ENSG00000118160	SLC8A2	SLC8A2
ENSG00000118276	B4GALT6	B4GALT6
ENSG00000118298	CA14	CA14
ENSG00000118363	SPCS2	SPCS2
ENSG00000118369	USP35	USP35
ENSG00000118402	ELOVL4	ELOVL4
ENSG00000118514	ALDH8A1	ALDH8A1
ENSG00000118518	RNF146	RNF146
ENSG00000118520	ARG1	ARG1
ENSG00000118596	SLC16A7	SLC16A7
ENSG00000118705	RPN2	RPN2
ENSG00000118777	ABCG2	ABCG2
ENSG00000119013	NDUFB3	NDUFB3
ENSG00000119048	UBE2B	UBE2B
ENSG00000119125	GDA	GDA
ENSG00000119227	PIGZ	PIGZ
ENSG00000119392	GLE1	GLE1
ENSG00000119401	TRIM32	TRIM32
ENSG00000119421	NDUFA8	NDUFA8
ENSG00000119514	GALNT12	GALNT12
ENSG00000119523	ALG2	ALG2
ENSG00000119537	KDSR	KDSR
ENSG00000119640	ACYP1	ACYP1
ENSG00000119673	ACOT2	ACOT2
ENSG00000119689	DLST	DLST
ENSG00000119711	ALDH6A1	ALDH6A1
ENSG00000119723	COQ6	COQ6
ENSG00000119772	DNMT3A	DNMT3A
ENSG00000119782	FKBP1B	FKBP1B
ENSG00000119899	SLC17A5	SLC17A5
ENSG00000119915	ELOVL3	ELOVL3
ENSG00000119927	GPAM	GPAM
ENSG00000119938	PPP1R3C	PPP1R3C
ENSG00000120053	GOT1	GOT1
ENSG00000120137	PANK3	PANK3
ENSG00000120253	NUP43	NUP43
ENSG00000120254	MTHFD1L	MTHFD1L
ENSG00000120265	PCMT1	PCMT1
ENSG00000120329	SLC25A2	SLC25A2
ENSG00000120437	ACAT2	ACAT2
ENSG00000120563	LYZL1	LYZL1
ENSG00000120697	ALG5	ALG5
ENSG00000120820	GLT8D2	GLT8D2
ENSG00000120915	EPHX2	EPHX2
ENSG00000120942	UBIAD1	UBIAD1
ENSG00000120992	LYPLA1	LYPLA1
ENSG00000121039	RDH10	RDH10
ENSG00000121053	EPX	EPX
ENSG00000121207	LRAT	LRAT
ENSG00000121270	ABCC11	ABCC11
ENSG00000121281	ADCY7	ADCY7
ENSG00000121310	ECHDC2	ECHDC2
ENSG00000121361	KCNJ8	KCNJ8
ENSG00000121481	RNF2	RNF2
ENSG00000121578	B4GALT4	B4GALT4
ENSG00000121579	NAA50	NAA50
ENSG00000121691	CAT	CAT
ENSG00000121769	FABP3	FABP3
ENSG00000121851	POLR3GL	POLR3GL
ENSG00000121879	PIK3CA	PIK3CA
ENSG00000121897	LIAS	LIAS
ENSG00000122008	POLK	POLK
ENSG00000122126	OCRL	OCRL
ENSG00000122194	PLG	PLG
ENSG00000122254	HS3ST2	HS3ST2
ENSG00000122257	RBBP6	RBBP6
ENSG00000122390	NAA60	NAA60
ENSG00000122642	FKBP9	FKBP9
ENSG00000122643	NT5C3A	NT5C3A
ENSG00000122678	POLM	POLM
ENSG00000122729	ACO1	ACO1
ENSG00000122787	AKR1D1	AKR1D1
ENSG00000122824	NUDT10	NUDT10
ENSG00000122863	CHST3	CHST3
ENSG00000122884	P4HA1	P4HA1
ENSG00000122912	SLC25A16	SLC25A16
ENSG00000122971	ACADS	ACADS
ENSG00000123124	WWP1	WWP1
ENSG00000123130	ACOT9	ACOT9
ENSG00000123213	NLN	NLN
ENSG00000123360	PDE1B	PDE1B
ENSG00000123453	SARDH	SARDH
ENSG00000123454	DBH	DBH
ENSG00000123505	AMD1	AMD1
ENSG00000123552	USP45	USP45
ENSG00000123643	SLC36A1	SLC36A1
ENSG00000123684	LPGAT1	LPGAT1
ENSG00000123739	PLA2G12A	PLA2G12A
ENSG00000123836	PFKFB2	PFKFB2
ENSG00000123983	ACSL3	ACSL3
ENSG00000123989	CHPF	CHPF
ENSG00000124003	MOGAT1	MOGAT1
ENSG00000124067	SLC12A4	SLC12A4
ENSG00000124091	GCNT7	GCNT7
ENSG00000124140	SLC12A5	SLC12A5
ENSG00000124151	NCOA3	NCOA3
ENSG00000124155	PIGT	PIGT
ENSG00000124164	VAPB	VAPB
ENSG00000124172	ATP5F1E	ATP5F1E
ENSG00000124181	PLCG1	PLCG1
ENSG00000124212	PTGIS	PTGIS
ENSG00000124253	PCK1	PCK1
ENSG00000124275	MTRR	MTRR
ENSG00000124299	PEPD	PEPD
ENSG00000124302	CHST8	CHST8
ENSG00000124356	STAMBP	STAMBP
ENSG00000124357	NAGK	NAGK
ENSG00000124370	MCEE	MCEE
ENSG00000124406	ATP8A1	ATP8A1
ENSG00000124422	USP22	USP22
ENSG00000124486	USP9X	USP9X
ENSG00000124491	F13A1	F13A1
ENSG00000124523	SIRT5	SIRT5
ENSG00000124564	SLC17A3	SLC17A3
ENSG00000124568	SLC17A1	SLC17A1
ENSG00000124588	NQO2	NQO2
ENSG00000124596	OARD1	OARD1
ENSG00000124615	MOCS1	MOCS1
ENSG00000124713	GNMT	GNMT
ENSG00000124767	GLO1	GLO1
ENSG00000124789	NUP153	NUP153
ENSG00000125166	GOT2	GOT2
ENSG00000125246	CLYBL	CLYBL
ENSG00000125255	SLC10A2	SLC10A2
ENSG00000125257	ABCC4	ABCC4
ENSG00000125356	NDUFA1	NDUFA1
ENSG00000125430	HS3ST3B1	HS3ST3B1
ENSG00000125450	NUP85	NUP85
ENSG00000125454	SLC25A19	SLC25A19
ENSG00000125458	NT5C	NT5C
ENSG00000125484	GTF3C4	GTF3C4
ENSG00000125505	MBOAT7	MBOAT7
ENSG00000125630	POLR1B	POLR1B
ENSG00000125772	GPCPD1	GPCPD1
ENSG00000125779	PANK2	PANK2
ENSG00000125780	TGM3	TGM3
ENSG00000125877	ITPA	ITPA
ENSG00000125954	CHURC1-FNTB	CHURC1-FNTB
ENSG00000126088	UROD	UROD
ENSG00000126091	ST3GAL3	ST3GAL3
ENSG00000126107	HECTD3	HECTD3
ENSG00000126261	UBA2	UBA2
ENSG00000126267	COX6B1	COX6B1
ENSG00000126368	NR1D1	NR1D1
ENSG00000126432	PRDX5	PRDX5
ENSG00000126522	ASL	ASL
ENSG00000126821	SGPP1	SGPP1
ENSG00000126883	NUP214	NUP214
ENSG00000127080	IPPK	IPPK
ENSG00000127125	PPCS	PPCS
ENSG00000127184	COX7C	COX7C
ENSG00000127415	IDUA	IDUA
ENSG00000127445	PIN1	PIN1
ENSG00000127472	PLA2G5	PLA2G5
ENSG00000127481	UBR4	UBR4
ENSG00000127540	UQCR11	UQCR11
ENSG00000127884	ECHS1	ECHS1
ENSG00000127948	POR	POR
ENSG00000128039	SRD5A3	SRD5A3
ENSG00000128050	PAICS	PAICS
ENSG00000128059	PPAT	PPAT
ENSG00000128242	GAL3ST1	GAL3ST1
ENSG00000128268	MGAT3	MGAT3
ENSG00000128274	A4GALT	A4GALT
ENSG00000128294	TPST2	TPST2
ENSG00000128309	MPST	MPST
ENSG00000128311	TST	TST
ENSG00000128524	ATP6V1F	ATP6V1F
ENSG00000128609	NDUFA5	NDUFA5
ENSG00000128655	PDE11A	PDE11A
ENSG00000128683	GAD1	GAD1
ENSG00000128708	HAT1	HAT1
ENSG00000128731	HERC2	HERC2
ENSG00000128918	ALDH1A2	ALDH1A2
ENSG00000128928	IVD	IVD
ENSG00000128951	DUT	DUT
ENSG00000129083	COPB1	COPB1
ENSG00000129128	SPCS3	SPCS3
ENSG00000129151	BBOX1	BBOX1
ENSG00000129167	TPH1	TPH1
ENSG00000129187	DCTD	DCTD
ENSG00000129204	USP6	USP6
ENSG00000129219	PLD2	PLD2
ENSG00000129244	ATP1B2	ATP1B2
ENSG00000129353	SLC44A2	SLC44A2
ENSG00000129467	ADCY4	ADCY4
ENSG00000129484	PARP2	PARP2
ENSG00000129562	DAD1	DAD1
ENSG00000129596	CDO1	CDO1
ENSG00000129673	AANAT	AANAT
ENSG00000129744	ART1	ART1
ENSG00000129873	CDY2B	CDY2B
ENSG00000129951	PLPPR3	PLPPR3
ENSG00000130005	GAMT	GAMT
ENSG00000130035	GALNT8	GALNT8
ENSG00000130052	STARD8	STARD8
ENSG00000130055	GDPD2	GDPD2
ENSG00000130066	SAT1	SAT1
ENSG00000130164	LDLR	LDLR
ENSG00000130203	APOE	APOE
ENSG00000130208	APOC1	APOC1
ENSG00000130227	XPO7	XPO7
ENSG00000130234	ACE2	ACE2
ENSG00000130304	SLC27A1	SLC27A1
ENSG00000130309	COLGALT1	COLGALT1
ENSG00000130313	PGLS	PGLS
ENSG00000130377	ACSBG2	ACSBG2
ENSG00000130383	FUT5	FUT5
ENSG00000130414	NDUFA10	NDUFA10
ENSG00000130508	PXDN	PXDN
ENSG00000130540	SULT4A1	SULT4A1
ENSG00000130649	CYP2E1	CYP2E1
ENSG00000130653	PNPLA7	PNPLA7
ENSG00000130707	ASS1	ASS1
ENSG00000130714	POMT1	POMT1
ENSG00000130717	UCK1	UCK1
ENSG00000130725	UBE2M	UBE2M
ENSG00000130816	DNMT1	DNMT1
ENSG00000130821	SLC6A8	SLC6A8
ENSG00000130822	PNCK	PNCK
ENSG00000130876	SLC7A10	SLC7A10
ENSG00000130939	UBE4B	UBE4B
ENSG00000130948	HSD17B3	HSD17B3
ENSG00000130957	FBP2	FBP2
ENSG00000130958	SLC35D2	SLC35D2
ENSG00000130985	UBA1	UBA1
ENSG00000130988	RGN	RGN
ENSG00000130997	POLN	POLN
ENSG00000131013	PPIL4	PPIL4
ENSG00000131055	COX4I2	COX4I2
ENSG00000131067	GGT7	GGT7
ENSG00000131069	ACSS2	ACSS2
ENSG00000131100	ATP6V1E1	ATP6V1E1
ENSG00000131143	COX4I1	COX4I1
ENSG00000131174	COX7B	COX7B
ENSG00000131183	SLC34A1	SLC34A1
ENSG00000131203	IDO1	IDO1
ENSG00000131238	PPT1	PPT1
ENSG00000131373	HACL1	HACL1
ENSG00000131386	GALNT15	GALNT15
ENSG00000131389	SLC6A6	SLC6A6
ENSG00000131446	MGAT1	MGAT1
ENSG00000131459	GFPT2	GFPT2
ENSG00000131471	AOC3	AOC3
ENSG00000131473	ACLY	ACLY
ENSG00000131480	AOC2	AOC2
